"Id"	"Parent"	"Type"	"Summary"	"Planned For"	"Status"	"Story Points (numeric)"	"Blocks"
"1011627"	"#1007536"	"Story"	"Feature 1007536: Define Capabilities Specification section 6 Initial Computing Resource Budgets and Estimate - Part 1"	"EA 15.1"	"Done"	"3"	"#1011642
#1011643
#1011644
#1017075"
"1011626"	"#1007536"	"Story"	"Feature 1007536: Define Capabilities Specification section 5 System Level Design Concept"	"EA 15.2"	"Implementing"	"5"	"#1011642
#1011643
#1011644"
"1011624"	"#1007536"	"Story"	"Feature 1007536: Define Capabilities Specification section 4 System Level Capability Requirements"	"EA 15.2"	"New"	"2"	"#1011642
#1011643
#1011644"
"1011623"	"#1007536"	"Story"	"Feature 1007536: Define Capabilities Specification section 3 Operational Concept"	"EA 15.2"	"Implementing"	"1"	"#1011642
#1011643
#1011644"
"1011622"	"#1007536"	"Story"	"Feature 1007536: Define Capabilities Specification section 2 Value Proposition"	"EA 15.2"	"New"	"2"	"#1011642
#1011643
#1011644"
"1011621"	"#1007536"	"Story"	"Feature 1007536: Define Capabilities Specification section 1 Problem Statement"	"EA 15.2"	"New"	"1"	"#1011642
#1011643
#1011644"
"1011620"	"#1007536"	"Story"	"Feature 1007536: Create blank Capabilities Specification template"	"EA 15.1"	"Done"	"1"	"#1011626
#1011624
#1011622
#1011621
#1011638
#1011636
#1011633
#1011640
#1011639
#1011634
#1011629
#1011623
#1011632
#1011631
#1011628
#1011635
#1011641"
"1011568"	"#243502"	"Story"	"CM Release Work for EAD 18"	"PI 17"	"New"	"1"	""
"1011563"	"#1011441"	"Story"	"Feature 1011441: Finalize and Submit Updated 2020 LORA to PMW via CM Release Process"	"EA 16.2"	"New"	"1"	""
"1011562"	"#1011441"	"Story"	"Feature 1011441: Incorporate Comments/Feedback from Internal Review of the LORA"	"EA 16.1"	"New"	"2"	""
"1011560"	"#1011441"	"Story"	"Feature 1011441: Internal Review of Updated LORA"	"EA 16.1"	"New"	"1"	""
"1011486"	"#396819"	"Story"	"Lab - Support - G. Lyon (14.1)"	"EA 14.1"	"Done"	"1"	""
"1011484"	"#385856"	"Story"	"Feature 385856: Conversion to ACC - Capability Spec Writeup for Ground System (Part 1)"	"EA 14.3"	"Done"	"2"	""
"1011483"	"#385856"	"Story"	"Feature 385856: Conversion to ACC - Systems Effort (EA 14.3 - part 2 of 2)"	"EA 14.3"	"Done"	"3"	""
"1011475"	""	"Problem"	"IETM update to RNC Health Check - Normal Operation Procedure"	"Unassigned"	"Assessing"	""	""
"1011472"	"#395114"	"Story"	"Feature 395114: Complete Spares Analysis for EAD 17"	"EA 15.5"	"New"	"2"	""
"1011471"	"#395174"	"Story"	"Feature 395174: Complete Spares Analysis for EAD 16"	"EA 14.5"	"Done"	"2"	""
"1011469"	"#1011441"	"Story"	"Feature 1011441: Incoroporates Updates Needed to the LORA Based Upon Findings and Comments from CDRL A004"	"EA 15.4"	"New"	"3"	""
"1011467"	"#1011441"	"Story"	"Feature 1011441: Review CDRL A010 with 2019 LORA"	"EA 15.3"	"New"	"2"	""
"1011452"	""	"Problem"	"NM Windows 10 Workstation - Windows 10 Enterprise v1709 End Of Life"	"Future"	"Assessing"	""	""
"1011441"	"#262146"	"Feature"	"Annual Level of Repair Assessment (LORA): Review & Update the LORA Created and Delivered in 2019 (CDRL A010)"	"PI 16 - In Progress"	"Implementing"	""	""
"1011425"	"#1011419"	"Story"	"Feature 1011419: Update CRM Database Entries for EA 15.5"	"EA 15.5"	"New"	"2"	""
"1011423"	"#1011419"	"Story"	"Feature 1011419: Update CRM Database Entries for EA 15.4"	"EA 15.4"	"New"	"2"	""
"1011422"	"#1011419"	"Story"	"Feature 1011419: Update CRM Database Entries for EA 15.3"	"EA 15.3"	"New"	"2"	""
"1011421"	"#1011419"	"Story"	"Feature 1011419: Update CRM Database Entries for EA 15.1"	"EA 15.1"	"Done"	"2"	""
"1011420"	"#1011419"	"Story"	"Feature 1011419: Update CRM Database Entries for EA 15.2"	"EA 15.2"	"Implementing"	"2"	""
"1011419"	"#262146"	"Feature"	"PI 15 Maintain CRM Database (Recurring)"	"EA 15.5"	"Implementing"	""	""
"1011398"	"#1011394"	"Story"	"Feature 1011394: ILS Support of DMSMS Tracker"	"EA 15.4"	"New"	"5"	""
"1011396"	"#1011394"	"Story"	"Feature 1011394: ILS Support of DMSMS Tracker"	"EA 15.2"	"Implementing"	"5"	""
"1011394"	"#262146"	"Feature"	"PI 15 DMSMS Support (Recurring)"	"EA 15.5"	"Implementing"	""	""
"1011381"	"#377408"	"Problem"	"Two versions of ILS Maintenance Laptop Applications — Normal Operation Procedure in the IETM"	"EA 14.3"	"Closed"	""	""
"1011372"	"#393265"	"Problem"	"Update IETM Procedure "" Add Domain Account to McAfee Firewall - Normal Operation Procedure"" with special note and update title"	"EA 15.2"	"Approved"	""	""
"1011370"	"#384036"	"Story"	"Feature 384036: Create Cisco Switch PKI Instructions"	"EA 14.3"	"Done"	"2"	"#1006877"
"1011368"	"#1015153"	"Problem"	"Feature 1015153: Antenna Control ISO cannot be burnt with the new ILSLAPTOPS using Windows 10 - Looks like Roxio might be needed"	"EA 15.4"	"Approved"	""	""
"1011356"	"#1004171"	"Story"	"Feature 1004171: Create a script to mine the logs from Feature 381608 to get a baseline of the frequency of the issue with the module acceptance of group provisioning from Central GNH"	"EA 14.4"	"Done"	"2"	""
"1011349"	"#384036"	"Story"	"Feature 384036: Replace TBDs with IETM Procedures in Nutanix FM alarm whitelist"	"EA 14.2"	"Done"	"2"	""
"1011346"	"#384036"	"Story"	"Feature 384036 SNMP for Cisco Switch Whitelist Development"	"EA 14.2"	"Done"	"2"	""
"1011344"	"#384036"	"Story"	"Feature 384036: Sumarization of the Nutanix Alert Recovery Procedures Testing"	"EA 14.2"	"Done"	"1"	""
"1011339"	"#354680"	"Story"	"Feature 354680 (Site): IA - Initial Scan on Splunk HA loaner equipment (Part 2)"	"EA 14.2"	"Done"	"3"	""
"1011338"	"#1011329"	"Story"	"Feature 1011329: ILS Support of DMSMS Tracker"	"EA 16.5"	"New"	"5"	""
"1011337"	"#1011329"	"Story"	"Feature 1011329: ILS Support of DMSMS Tracker"	"EA 16.4"	"New"	"5"	""
"1011336"	"#1011329"	"Story"	"Feature 1011329: ILS Support of DMSMS Tracker"	"EA 16.3"	"New"	"5"	""
"1011334"	"#1011329"	"Story"	"Feature 1011329: ILS Support of DMSMS Tracker"	"EA 16.2"	"New"	"5"	""
"1011333"	"#354680"	"Story"	"Feature 354680 (Site): IA Patching and STIGs (Wrap-up)"	"EA 14.2"	"Done"	"1"	""
"1011331"	"#1011329"	"Story"	"Feature 1011329: ILS Support of DMSMS Tracker"	"EA 16.1"	"New"	"5"	""
"1011329"	"#262146"	"Feature"	"PI 16 DMSMS Support (Recurring)"	"PI 16 - Candidate"	"Approved"	""	""
"1011325"	"#1011295"	"Story"	"Feature 1011295: Provide Deployment Notes and Operator Impact Inputs"	"EA 15.5"	"New"	"1"	""
"1011317"	"#1011295"	"Story"	"Feature Demo - Customer Demo Event - Feature 1011295: PI 15 Parts List and Drawing Updates/Modifications Discovered within IA Patching or Outside Standard Features (Recurring) - Analysis Demo"	"EA 15.5"	"New"	"1"	""
"1011314"	"#1002381"	"Story"	"Feature 1002381: Create CoCo Review for Hardware Drawings for HLR AuK"	"EA 15.5"	"New"	"2"	""
"1011310"	"#395855"	"Story"	"Feature 395855: Create CoCo Review for EAD15 Power Upgrades in Wahiawa"	"EA 14.5"	"Done"	"1"	"#1011311"
"1011309"	"#342163"	"Story"	"Feature 342163: Parts List Updates for Taclane"	"EA 15.3"	"New"	"1"	"#1019376"
"1011306"	"#1011295"	"Story"	"Feature 1011295: Create CoCo Review for Alternate Parts List"	"EA 15.3"	"New"	"2"	"#1011307"
"1011304"	"#1002381"	"Story"	"Feature 1002381: Continue Creating Redlines Drawings for OBS - HLR: HW/FRCB for HLR Deployment"	"EA 15.1"	"Done"	"2"	"#1011314"
"1011301"	"#1011295"	"Story"	"Feature 1011295: Alternate Parts List Update"	"EA 15.3"	"New"	"1"	""
"1011300"	"#1011295"	"Story"	"Feature 1011295: Update Drawings for GEO Removal Problem 392388"	"EA 15.2"	"Implementing"	"2"	"#1011302"
"1011295"	"#262146"	"Feature"	"PI 15 Parts List and Drawing Updates/Modifications Discovered within IA Patching or Outside Standard Features (Recurring)"	"EA 15.5"	"Implementing"	""	""
"1011279"	"#251622"	"Feature"	"Depot: Laptop Efforts for EAD 15"	"EA 14.3"	"Done"	""	""
"1011277"	"#353345"	"Story"	"Feature 353345: Travel from Site to Conduct Refresher Training at WH (Trainer 1)"	"EA 14.2"	"Done"	"1"	""
"1011276"	"#353345"	"Story"	"Feature 353345: Travel from Site to Conduct Refresher Training at WH (Trainer 2)"	"EA 14.2"	"Done"	"1"	""
"1011260"	"#384036"	"Story"	"Feature 384036: Test Nutanix Power Supply Failure Alert Recovery Procedure"	"EA 14.2"	"Done"	"1"	""
"1011259"	"#384036"	"Story"	"Feature 384036: Test Nutanix Node Failure Alert Recovery Procedure"	"EA 14.2"	"Done"	"1"	""
"1011258"	"#384036"	"Story"	"Feature 384036: Test Nutanix High Disk Space Utilization Alert Recovery Procedure"	"EA 14.2"	"Done"	"2"	""
"1011257"	"#384036"	"Story"	"Feature 384036: Test Nutanix Disk Removal Alert Recovery Procedure"	"EA 14.2"	"Done"	"1"	""
"1011256"	"#384036"	"Story"	"Feature 384036: Test Nutanix Disk Failure Alert Recovery Procedure"	"EA 14.2"	"Done"	"2"	""
"1011249"	"#1011150"	"Story"	"Feature 1011150: WWTS Waveform Analysis and Issue Support (1)"	"EA 15.1"	"Done"	"1"	""
"1011248"	"#1011150"	"Story"	"Feature 1011150: WWTS Waveform Analysis and Issue Support (2)"	"EA 15.2"	"Implementing"	"1"	""
"1011247"	"#1011150"	"Story"	"Feature 1011150: WWTS Waveform Analysis and Issue Support (3)"	"EA 15.3"	"New"	"1"	""
"1011246"	"#1011150"	"Story"	"Feature 1011150: WWTS Waveform Analysis and Issue Support (4)"	"EA 15.4"	"New"	"1"	""
"1011245"	"#1011150"	"Story"	"Feature 1011150: WWTS Waveform Analysis and Issue Support (5)"	"EA 15.5"	"New"	"1"	""
"1011243"	"#1011150"	"Story"	"Feature 1011150: WWTS Trouble Ticket Support"	"EA 15.2"	"New"	"1"	""
"1011242"	"#1011150"	"Story"	"Feature 1011150: WWTS Trouble Ticket Support"	"EA 15.3"	"New"	"1"	""
"1011241"	"#1011150"	"Story"	"Feature 1011150: WWTS Trouble Ticket Support"	"EA 15.4"	"New"	"1"	""
"1011240"	"#1011150"	"Story"	"Feature 1011150: WWTS Trouble Ticket Support"	"EA 15.5"	"New"	"1"	""
"1011239"	"#1011150"	"Story"	"Feature 1011150: WWTS Trouble Ticket Support"	"EA 15.1"	"Done"	"1"	""
"1011238"	"#1011150"	"Story"	"Feature 1011150: WWTS Trouble Ticket Support"	"EA 15.3"	"New"	"1"	""
"1011237"	"#1011150"	"Story"	"Feature 1011150: WWTS Trouble Ticket Support"	"EA 15.5"	"New"	"1"	""
"1011231"	"#1011150"	"Story"	"Feature 1011150: TOFF LOE - FRB Support - EA 15.1"	"EA 15.1"	"Done"	"2"	""
"1011230"	"#1011150"	"Story"	"Feature 1011150: TOFF LOE - FRB Support - EA 15.2"	"EA 15.2"	"Implementing"	"2"	""
"1011229"	"#1011150"	"Story"	"Feature 1011150: TOFF LOE - FRB Support - EA 15.3"	"EA 15.3"	"New"	"1"	""
"1011228"	"#1011150"	"Story"	"Feature 1011150: TOFF LOE - FRB Support - EA 15.4"	"EA 15.4"	"New"	"1"	""
"1011227"	"#1011150"	"Story"	"Feature 1011150: TOFF LOE - FRB Support - EA 15.5"	"EA 15.5"	"New"	"1"	""
"1011226"	"#1011150"	"Story"	"Feature 1011150: TOFF LOE - MPC Support - EA 15.1"	"EA 15.1"	"Done"	"1"	""
"1011225"	"#1011150"	"Story"	"Feature 1011150: TOFF LOE - MPC Support - EA 15.2"	"EA 15.2"	"Implementing"	"2"	""
"1011224"	"#1011150"	"Story"	"Feature 1011150: TOFF LOE - MPC Support - EA 15.3"	"EA 15.3"	"New"	"1"	""
"1011223"	"#1011150"	"Story"	"Feature 1011150: TOFF LOE - MPC Support - EA 15.4"	"EA 15.4"	"New"	"1"	""
"1011222"	"#1011150"	"Story"	"Feature 1011150: TOFF LOE - MPC Support - EA 15.5"	"EA 15.5"	"New"	"1"	""
"1011221"	"#1011150"	"Story"	"Feature 1011150: TOFF LOE - Site Support and PWI generation - EA 15.1"	"EA 15.1"	"Done"	"1"	""
"1011220"	"#1011150"	"Story"	"Feature 1011150: TOFF LOE - Site Support and PWI generation - EA 15.2"	"EA 15.2"	"Implementing"	"1"	""
"1011219"	"#1011150"	"Story"	"Feature 1011150: TOFF LOE - Site Support and PWI generation - EA 15.3"	"EA 15.3"	"New"	"1"	""
"1011218"	"#1011150"	"Story"	"Feature 1011150: TOFF LOE - Site Support and PWI generation - EA 15.4"	"EA 15.4"	"New"	"1"	""
"1011217"	"#1011150"	"Story"	"Feature 1011150: TOFF LOE - Site Support and PWI generation - EA 15.5"	"EA 15.5"	"New"	"1"	""
"1011216"	"#1011150"	"Story"	"Feature 1011150: TOFF LOE - TT Support - EA 15.1"	"EA 15.1"	"Done"	"3"	""
"1011215"	"#1011150"	"Story"	"Feature 1011150: TOFF LOE - TT Support - EA 15.2"	"EA 15.2"	"Implementing"	"3"	""
"1011214"	"#1011150"	"Story"	"Feature 1011150: TOFF LOE - TT Support - EA 15.3"	"EA 15.3"	"New"	"1"	""
"1011213"	"#1011150"	"Story"	"Feature 1011150: TOFF LOE - TT Support - EA 15.4"	"EA 15.4"	"New"	"3"	""
"1011212"	"#1011150"	"Story"	"Feature 1011150: TOFF LOE - TT Support - EA 15.5"	"EA 15.5"	"New"	"1"	""
"1011211"	"#1011150"	"Story"	"Feature 1011150: TOFF LOE TT Support - EA 15.1"	"EA 15.1"	"Done"	"3"	""
"1011210"	"#1011150"	"Story"	"Feature 1011150: TOFF LOE TT Support - EA 15.2"	"EA 15.2"	"Implementing"	"2"	""
"1011209"	"#1011150"	"Story"	"Feature 1011150: TOFF LOE TT Support - EA 15.3"	"EA 15.3"	"New"	"1"	""
"1011208"	"#1011150"	"Story"	"Feature 1011150: TOFF LOE TT Support - EA 15.4"	"EA 15.4"	"New"	"1"	""
"1011207"	"#1011150"	"Story"	"Feature 1011150: TOFF LOE TT Support - EA 15.5"	"EA 15.5"	"New"	"2"	""
"1011205"	"#1011150"	"Story"	"Feature 1011150: TOFF LOE - TT Support - EA 15.2"	"EA 15.2"	"Implementing"	"1"	""
"1011202"	"#1011150"	"Story"	"Feature 1011150: TOFF LOE - TT Support - EA 15.5"	"EA 15.5"	"New"	"2"	""
"1011201"	"#1011150"	"Story"	"Feature 1011150: TOFF LOE TT Support - EA 15.1"	"EA 15.1"	"Done"	"1"	""
"1011200"	"#1011150"	"Story"	"Feature 1011150: TOFF LOE TT Support - EA 15.2"	"EA 15.2"	"Implementing"	"1"	""
"1011199"	"#1011150"	"Story"	"Feature 1011150: TOFF LOE TT Support - EA 15.3"	"EA 15.3"	"New"	"1"	""
"1011194"	"#1011150"	"Story"	"Feature 1011150: PI 15 SA TT Support - EA 15.1"	"EA 15.1"	"Done"	"1"	""
"1011193"	"#1011150"	"Story"	"Feature 1011150: PI 15 SA TT Support - EA 15.1"	"EA 15.1"	"Done"	"2"	""
"1011192"	"#1011150"	"Story"	"Feature 1011150: PI 15 SA TT Support - EA 15.2"	"EA 15.2"	"New"	"3"	""
"1011191"	"#1011150"	"Story"	"Feature 1011150: PI 15 SA TT Support - EA 15.3"	"EA 15.3"	"New"	"2"	""
"1011190"	"#1011150"	"Story"	"Feature 1011150: PI 15 SA TT Support - EA 15.4"	"EA 15.4"	"New"	"2"	""
"1011189"	"#1011150"	"Story"	"Feature 1011150: PI 15 SA TT Support - EA 15.5"	"EA 15.5"	"New"	"1"	""
"1011188"	"#1011150"	"Story"	"Feature 1011150: PI 15 SA TT Support - EA 15.3"	"EA 15.3"	"New"	"1"	""
"1011187"	"#1011150"	"Story"	"Feature 1011150: Laptops Trouble Ticket Support - 15.1"	"EA 15.1"	"Done"	"1"	""
"1011186"	"#1011150"	"Story"	"Feature 1011150: Laptops Trouble Ticket Support - 15.2"	"EA 15.2"	"New"	"1"	""
"1011185"	"#1011150"	"Story"	"Feature 1011150: Laptops Trouble Ticket Support - 15.3"	"EA 15.3"	"New"	"1"	""
"1011184"	"#1011150"	"Story"	"Feature 1011150: Laptops Trouble Ticket Support - 15.4"	"EA 15.4"	"New"	"1"	""
"1011183"	"#1011150"	"Story"	"Feature 1011150: Laptops Trouble Ticket Support - 15.5"	"EA 15.5"	"New"	"1"	""
"1011182"	"#1011150"	"Story"	"Feature 1011150: Okapi Trouble Ticket Support - 15.1"	"EA 15.1"	"Done"	"1"	""
"1011181"	"#1011150"	"Story"	"Feature 1011150: Okapi Trouble Ticket Support - 15.2"	"EA 15.2"	"New"	"1"	""
"1011180"	"#1011150"	"Story"	"Feature 1011150: Okapi Trouble Ticket Support - 15.3"	"EA 15.3"	"New"	"1"	""
"1011179"	"#1011150"	"Story"	"Feature 1011150: Okapi Trouble Ticket Support - 15.4"	"EA 15.4"	"New"	"1"	""
"1011178"	"#1011150"	"Story"	"Feature 1011150: MAGIC TT Support - EA 15.1"	"EA 15.1"	"Done"	"2"	""
"1011177"	"#1011150"	"Story"	"Feature 1011150: MAGIC TT Support - EA 15.2"	"EA 15.2"	"New"	"2"	""
"1011176"	"#1011150"	"Story"	"Feature 1011150: MAGIC TT Support - EA 15.3"	"EA 15.3"	"New"	"2"	""
"1011175"	"#1011150"	"Story"	"Feature 1011150: MAGIC TT Support - EA 15.4"	"EA 15.4"	"New"	"2"	""
"1011174"	"#1011150"	"Story"	"Feature 1011150: MAGIC TT Support - EA 15.5"	"EA 15.5"	"New"	"2"	""
"1011173"	"#1011150"	"Story"	"Feature 1011150: Labradors TT Support - EA 15.1"	"EA 15.1"	"Done"	"2"	""
"1011172"	"#1011150"	"Story"	"Feature 1011150: Labradors TT Support - EA 15.2"	"EA 15.2"	"Implementing"	"2"	""
"1011171"	"#1011150"	"Story"	"Feature 1011150: Alicorn Trouble Ticket Support - 15.1"	"EA 15.1"	"Done"	"1"	""
"1011170"	"#1011150"	"Story"	"Feature 1011150: Alicorn Trouble Ticket Support - 15.2"	"EA 15.2"	"Implementing"	"1"	""
"1011169"	"#1011150"	"Story"	"Feature 1011150: Alicorn Trouble Ticket Support - 15.3"	"EA 15.3"	"New"	"1"	""
"1011168"	"#1011150"	"Story"	"Feature 1011150: Alicorn Trouble Ticket Support - 15.4"	"EA 15.4"	"New"	"1"	""
"1011166"	"#395871"	"Story"	"Feature 395871: Labradors - Evaluation of severity/probability for ET recovery procedures - EA 14.2"	"EA 14.2"	"Done"	"1"	""
"1011150"	"#245568"	"Feature"	"TT support; ID, report, prioritize, and resolve incidents (recurring) - PI 15"	"EA 15.5"	"Implementing"	""	""
"1011129"	"#1013136"	"Problem"	"Vendor:  Asnas unjoins a group without telling the Red side.  Reboot required."	"PI 16"	"Implementing"	""	""
"1011125"	"#1011070"	"Story"	"Feature 1011070: WWTS PWI Triage/Assessment Support"	"EA 15.1"	"Done"	"1"	""
"1011124"	"#1011070"	"Story"	"Feature 1011070: WWTS PWI Triage/Assessment Support"	"EA 15.2"	"New"	"1"	""
"1011123"	"#1011070"	"Story"	"Feature 1011070: WWTS PWI Triage/Assessment Support"	"EA 15.3"	"New"	"1"	""
"1011122"	"#1011070"	"Story"	"Feature 1011070: WWTS PWI Triage/Assessment Support"	"EA 15.5"	"New"	"1"	""
"1011121"	"#1011070"	"Story"	"Feature 1011070: WWTS PWI Triage/Assessment Support"	"EA 15.4"	"New"	"1"	""
"1011120"	"#1011070"	"Story"	"Feature 1011070: WWTS PWI Triage/Assessment Support"	"EA 15.1"	"Done"	"1"	""
"1011119"	"#1011070"	"Story"	"Feature 1011070: WWTS PWI Triage/Assessment Support"	"EA 15.2"	"Implementing"	"1"	""
"1011118"	"#1011070"	"Story"	"Feature 1011070: WWTS PWI Triage/Assessment Support"	"EA 15.3"	"New"	"1"	""
"1011117"	"#1011070"	"Story"	"Feature 1011070: WWTS PWI Triage/Assessment Support"	"EA 15.4"	"New"	"1"	""
"1011116"	"#1011070"	"Story"	"Feature 1011070: WWTS PWI Triage/Assessment Support"	"EA 15.5"	"New"	"1"	""
"1011115"	"#1011070"	"Story"	"Feature 1011070: TOFF PWI triage/assessment support 15.1"	"EA 15.1"	"Done"	"1"	""
"1011114"	"#1011070"	"Story"	"Feature 1011070: TOFF PWI triage/assessment support 15.2"	"EA 15.2"	"Implementing"	"1"	""
"1011113"	"#1011070"	"Story"	"Feature 1011070: TOFF PWI triage/assessment support 15.3"	"EA 15.3"	"New"	"1"	""
"1011112"	"#1011070"	"Story"	"Feature 1011070: TOFF PWI triage/assessment support 15.4"	"EA 15.4"	"New"	"1"	""
"1011111"	"#1011070"	"Story"	"Feature 1011070: TOFF PWI triage/assessment support 15.5"	"EA 15.5"	"New"	"1"	""
"1011110"	"#1011070"	"Story"	"Feature 1011070: CSE PWI Triage/Assessment Support"	"EA 15.1"	"Done"	"1"	""
"1011109"	"#1011070"	"Story"	"Feature 1011070: CSE PWI Triage/Assessment Support"	"EA 15.2"	"Implementing"	"1"	""
"1011108"	"#1011070"	"Story"	"Feature 1011070: CSE PWI Triage/Assessment Support"	"EA 15.3"	"New"	"1"	""
"1011107"	"#1011070"	"Story"	"Feature 1011070: CSE PWI Triage/Assessment Support"	"EA 15.3"	"New"	"1"	""
"1011106"	"#1011070"	"Story"	"Feature 1011070: SA PWI Support - EA 15.1"	"EA 15.1"	"Done"	"2"	""
"1011105"	"#1011070"	"Story"	"Feature 1011070: SA PWI Support - EA 15.2"	"EA 15.2"	"Implementing"	"2"	""
"1011104"	"#1011070"	"Story"	"Feature 1011070: SA PWI Support - EA 15.3"	"EA 15.3"	"New"	"2"	""
"1011103"	"#1011070"	"Story"	"Feature 1011070: SA PWI Support - EA 15.4"	"EA 15.4"	"New"	"2"	""
"1011102"	"#1011070"	"Story"	"Feature 1011070: SA PWI Support - EA 15.5"	"EA 15.5"	"New"	"1"	""
"1011101"	"#1011070"	"Story"	"Feature 1011070: SA PWI Support - EA 15.1"	"EA 15.1"	"Done"	"5"	""
"1011100"	"#1011070"	"Story"	"Feature 1011070: Okapi PWI Triage/Assessment Support EA 15.1"	"EA 15.1"	"Done"	"1"	""
"1011099"	"#1011070"	"Story"	"Feature 1011070: Okapi PWI Triage/Assessment Support EA 15.2"	"EA 15.2"	"New"	"1"	""
"1011098"	"#1011070"	"Story"	"Feature 1011070: Okapi PWI Triage/Assessment Support EA 15.3"	"EA 15.3"	"New"	"1"	""
"1011097"	"#1011070"	"Story"	"Feature 1011070: Okapi PWI Triage/Assessment Support EA 15.4"	"EA 15.4"	"New"	"1"	""
"1011096"	"#1011070"	"Story"	"Feature 1011070: Octopi PWI Triage/Assessment Support EA 15.1"	"EA 15.1"	"Done"	"1"	""
"1011095"	"#1011070"	"Story"	"Feature 1011070: Octopi PWI Triage/Assessment Support EA 15.2"	"EA 15.2"	"Implementing"	"1"	""
"1011094"	"#1011070"	"Story"	"Feature 1011070: Octopi PWI Triage/Assessment Support EA 15.3"	"EA 15.3"	"New"	"1"	""
"1011093"	"#1011070"	"Story"	"Feature 1011070: Octopi PWI Triage/Assessment Support EA 15.4"	"EA 15.4"	"New"	"1"	""
"1011092"	"#1011070"	"Story"	"Feature 1011070: Octopi PWI Triage/Assessment Support EA 15.5"	"EA 15.5"	"New"	"1"	""
"1011091"	"#1011070"	"Story"	"Feature 1011070: MAGIC PWI Triage/Assessment Support - EA 15.1"	"EA 15.1"	"Done"	"2"	""
"1011090"	"#1011070"	"Story"	"Feature 1011070: MAGIC PWI Triage/Assessment Support - EA 15.2 (Anil)"	"EA 15.2"	"New"	"1"	""
"1011089"	"#1011070"	"Story"	"Feature 1011070: MAGIC PWI Triage/Assessment Support - EA 15.3"	"EA 15.3"	"New"	"2"	""
"1011088"	"#1011070"	"Story"	"Feature 1011070: MAGIC PWI Triage/Assessment Support - EA 15.4"	"EA 15.4"	"New"	"2"	""
"1011087"	"#1011070"	"Story"	"Feature 1011070: MAGIC PWI Triage/Assessment Support - EA 15.5"	"EA 15.5"	"New"	"2"	""
"1011086"	"#1011070"	"Story"	"Feature 1011070: Falcons PWI Triage/Assessment Support EA 15.1"	"EA 15.1"	"Done"	"1"	""
"1011085"	"#1011070"	"Story"	"Feature 1011070: Falcons PWI Triage/Assessment Support EA 15.2"	"EA 15.2"	"Implementing"	"1"	""
"1011084"	"#1011070"	"Story"	"Feature 1011070: Falcons PWI Triage/Assessment Support EA 15.3"	"EA 15.3"	"New"	"1"	""
"1011083"	"#1011070"	"Story"	"Feature 1011070: Falcons PWI Triage/Assessment Support EA 15.4"	"EA 15.4"	"New"	"1"	""
"1011082"	"#1011070"	"Story"	"Feature 1011070: Falcons PWI Triage/Assessment Support EA 15.5"	"EA 15.5"	"New"	"1"	""
"1011081"	"#1011070"	"Story"	"Feature 1011070: Cyber PWI Triage/Assessment Support - 15.1"	"EA 15.1"	"Done"	"1"	""
"1011080"	"#1011070"	"Story"	"Feature 1011070: Cyber PWI Triage/Assessment Support - 15.2"	"EA 15.2"	"Implementing"	"1"	""
"1011079"	"#1011070"	"Story"	"Feature 1011070: Cyber PWI Triage/Assessment Support - 15.3"	"EA 15.3"	"New"	"1"	""
"1011078"	"#1011070"	"Story"	"Feature 1011070: Cyber PWI Triage/Assessment Support - 15.4"	"EA 15.4"	"New"	"1"	""
"1011077"	"#1011070"	"Story"	"Feature 1011070: Cyber PWI Triage/Assessment Support - 15.5"	"EA 15.5"	"New"	"1"	""
"1011076"	"#1011070"	"Story"	"Feature 1011070: PWI Triage/Assessment Support EA 15.1 (LOE)"	"EA 15.1"	"Done"	"1"	""
"1011075"	"#1011070"	"Story"	"Feature 1011070: PWI Triage/Assessment Support EA 15.2 (LOE)"	"EA 15.2"	"Implementing"	"1"	""
"1011074"	"#1011070"	"Story"	"Feature 1011070: PWI Triage/Assessment Support EA 15.3 (LOE)"	"EA 15.3"	"New"	"1"	""
"1011073"	"#1011070"	"Story"	"Feature 1011070: PWI Triage/Assessment Support EA 15.4 (LOE)"	"EA 15.4"	"New"	"1"	""
"1011070"	"#243395"	"Feature"	"PWI triage and assessment support (recurring) - PI 15"	"EA 15.5"	"Implementing"	""	""
"1011049"	"#372921"	"Story"	"Support RMF IATT effort for call banks (Cyber) - 14.2"	"EA 14.2"	"Done"	"3"	""
"1011023"	"#388076"	"Story"	"Feature 388076: Do PWI work for Problem 347180"	"EA 14.2"	"Done"	"2"	""
"1011022"	"#342054"	"Story"	"Feature 342054: WH alignment MPC work"	"EA 14.2"	"Done"	"3"	""
"1011010"	"#388076"	"Story"	"Feature 388076: Do PWI work for Problem 345802"	"EA 14.2"	"Done"	"2"	""
"1011001"	"#245568"	"Feature"	"Identify and communicate top issues (recurring) - PI 15"	"EA 15.5"	"Implementing"	""	""
"1010913"	"#1013136"	"Problem"	"Vendor:  Mobility during Configuring state where routing area changes causes waveform to hang."	"EA 15.4"	"Close Pending"	""	""
"1010907"	"#342054"	"Problem"	"AWARE: AMP incorrectly calls out 90-day expiration period"	"PI 16"	"Approved"	""	""
"1010897"	"#388076"	"Story"	"Feature 388076: Do PWI work for Problem 345718"	"EA 14.2"	"Done"	"3"	""
"1010896"	"#386935"	"Story"	"Feature 386935: IETM Updates and Integration Support for MUOS Geolocation Support, Maintenance  Zeta EAD 15"	"EA 14.2"	"Done"	"1"	""
